english;polish
knock-out;nokaut
knoll;wzgórek
knotty;poplątany
know;znać
know-how;wiedza
knowing;porozumiewawczy
knowingly;z premedytacją
knowledge;wiedza
knowledgeable;dobrze poinformowany
Knt.;rycerz
knuckle;kostka
ko;nokaut
Koran;Koran
Korea;Korea
Korean;koreański
kosher;koszerny
kph;km
Kt.;rycerz
kudos;sława
Kuwait;Kuwejt
Kuwaiti;kuwejcki
l;lewy
L.A.;zgromadzenie ustawodawcze
Lab.;Partia Pracy
lab;laboratorium
label;etykieta
laboratory;laboratorium
laborious;pracochłonny
labour;praca
labourer;pracownik fizyczny
labyrinth;labirynt
lace;koronka
lacerate;przecinać
lack;brak
lackey;pachołek
laconic;lakoniczny
lacquer;lakier
lacy;koronkowy
lad;młodzieniec
ladder;drabina
laden;obładowany
ladle;chochla
lady;pani
ladylike;dystyngowany
lager;lager
lagoon;laguna
lair;legowisko
lake;jezioro
lamb;jagnię
lame;kulawy
lament;opłakiwać
lamentable;opłakany
lamp;lampa
lamp-post;słup latarni
lampshade;abażur
landed;posiadający ziemię
landing;podest
landlady;gospodyni
landlocked;otoczony lądem
landlord;gospodarz
landmark;punkt orientacyjny
landscape;pejzaż
landslide;miażdżące zwycięstwo
lane;alejka
lang.;język
language;język
languid;flegmatyczny
languor;ospałość
lanky;kościsty
lantern;latarnia
lap;kolana
lapel;klapa
lapse;wyskok
laptop;komputer przenośny
larceny;kradzież
larch;modrzew
lard;smalec
larder;spiżarnia
largely;w większości
large-scale;na dużą skalę
lark;skowronek
larva;larwa
laryngitis;zapalenie gardła
lascivious;pożądliwy
laser;laser
lass;dziewczyna
lasting;trwały
lastly;na końcu
last-minute;w ostatniej chwili
Lat.;łac.
lat.;szerokość
latch;zasuwa
late;późno
latecomer;spóźnialski
lately;ostatnio
latent;ukryty
lateral;boczny
lathe;tokarka
lather;piana
latitude;szerokość geograficzna
latrine;latryna
latter;drugi z dwóch
latter-day;nowoczesny
lattice;kratka
laudable;chwalebny
laugh;śmiać się
laughable;groteskowy
laughing stock;pośmiewisko
laughter;śmiech
launch;wodować
launder;prać
launderette;pralnia samoobsługowa
laundry;pranie
laurel;laur
lava;lawa
lavatory;ubikacja
lavender;lawenda
lavish;hojny
law;prawo
law-abiding;praworządny
lawful;legalny
lawless;nielegalny
lawn;trawnik
lawnmower;kosiarka do trawników
lawsuit;proces sądowy
lawyer;prawnik
lax;luźny
laxative;środek przeczyszczający
lay;kłaść
layabout;nicpoń
lay-by;zatoka drogi
layer;warstwa
layman;nieprofesjonalista
layoff;zwolnienie
layout;rozmieszczenie
laze;leniuchować
lazy;leniwy
lb;funt
LCD;ekran ciekłokrystaliczny
LEA;wydział oświaty
lead;prowadzić
leaden;ołowiany
leader;lider
leadership;kierownictwo
leading;wiodący
leaf;liść
leaflet;ulotka
leafy;liściasty
league;liga
leak;przeciekać
leaky;nieszczelny
lean;pochylać się
leaning;ciągota
leap;skakać w górę
learn;uczyć się
learned;uczony
learning;głęboka wiedza
lease;dzierżawa
leash;smycz
least;najmniej
leather;skóra
leathery;skórzasty
leave;zostawiać
Lebanese;libański
Lebanon;Liban
lecherous;lubieżny
lectern;pulpit
lecture;wykład
lecturer;wykładowca
ledge;półka skalna
ledger;księga główna
leech;pijawka
leek;por
leer;lubieżny uśmieszek
leeway;luz
left;lewa strona
left-hand;lewostronny
left-handed;leworęczny
leftist;lewicowiec
left-luggage office;biuro rzeczy znalezionych
leftover;pozostały
left-wing;lewicowy
left-winger;lewicowiec
leg;noga
legacy;spadek
legal;legalny
legality;legalność
legalize;legalizować
legend;legenda
legendary;legendarny
leggings;getry
legible;czytelny
legion;legion
legislate;ustanawiać prawa
legislation;ustawodawstwo
legislative;legislacyjny
legislature;legislatura
legitimate;legalny
Leipzig;Lipsk
leisure;czas wolny
leisurely;nieśpieszny
lemon;cytryna
lemonade;lemoniada
lend;pożyczać
lender;kredytodawca
lengthen;wydłużać
lengthy;długi
lenient;pobłażliwy
lens;soczewka
Lent;Wielki Post
lentil;soczewica
Leo;Lew
leopard;lampart
leotard;trykot
leper;trędowaty
leprosy;trąd
lesbian;lesbijski
less;mniejszy
lessen;zmniejszać się
lesser;mniejszy
lesson;lekcja
lest;aby nie
letdown;zawód
lethal;zabójczy
lethargic;letargiczny
letter;list
letterbox;skrzynka pocztowa
lettering;liternictwo
letter-quality;wysoka jakość
lettuce;sałata
let-up;zelżenie
leukaemia;białaczka
level-headed;zrównoważony
lever;dźwignia
leverage;nacisk
levity;lekkomyślność
levy;pobranie
lewd;pożądliwy
liability;podatność
liable;podatny
liaise;współpracować
liaison;porozumienie
liar;kłamca
lib.;liberalny
libel;oszczerstwo
libellous;oszczerczy
liberal;liberalny
liberate;uwalniać
liberated;wyzwolony
liberation;wyzwolenie
Libra;Waga
librarian;bibliotekarz
library;biblioteka
Libya;Libia
Libyan;libijski
licence;licencja
license;wydawać zezwolenie licencję
licensed;upoważniony
licentious;rozwiązły
lick;lizać
lid;pokrywka
lie-down;wypoczynek
Lieut.;porucznik
Lieut.-Col.;podpułkownik
lieutenant;porucznik
life;życie
lifebelt;pas ratunkowy
lifeboat;łódź ratunkowa
lifeguard;ratownik
lifeless;bez życia
lifelike;jak żywy
lifeline;lina ratunkowa
lifelong;na całe życie
life-size;naturalnej wielkości
lifespan;długość życia
lifetime;całe życie
lift;podnosić się
ligament;wiązadło
light;zapalać
lighten;rozjaśniać się
lighter;zapalniczka
light-headed;oszołomiony
light-hearted;beztroski
lighthouse;latarnia morska
lighting;oświetlenie
lightly;beztrosko
lightning;błyskawica
lightweight;lekki
light-year;rok świetlny
likable;miły
likeable;miły
likelihood;prawdopodobieństwo
likely;możliwy
like-minded;podobnie myślący
liken;przyrównywać
likeness;podobieństwo
likewise;podobnie
liking;upodobanie
lilac;bez
lilt;zaśpiew
lily;lilia
limb;kończyna
limber up;ćwiczyć
limbo;zawieszenie
lime;wapno
limelight;światła rampy
limerick;limeryk
limitation;ograniczenie
limited;ograniczony
limitless;nieograniczony
limousine;limuzyna
limp;kuleć
linear;linearny
linen;len
liner;liniowiec
linesman;sędzia liniowy
line-up;skład
linger;utrzymywać się
lingerie;bielizna damska
linguistic;językoznawczy
linguistics;językoznawstwo
lining;podszewka
link;łączyć
linkage;związek
links;boisko do golfa
linkup;połączenie
lion;lew
lioness;lwica
lip;warga
lip-read;czytać z warg
lip-service;składać komuś deklaracje bez pokrycia
lipstick;kredka do ust
liquefy;stopić
liqueur;likier
liquid;ciecz
liquid-crystal display;ekran ciekłokrystaliczny
liquidate;likwidować
liquor;alkohol
Lisbon;Lizbona
lisp;seplenić
list;lista
listen;słuchać się
listener;słuchacz
listless;osowiały
litany;litania
literacy;umiejętność czytania i pisania
literal;dosłowny
literary;literacki
literate;piśmienny
literature;literatura
Lithuania;Litwa
Lithuanian;litewski
litigate;procesować się
litigation;spór sądowy
litre;litr
litter;śmieci
liturgy;liturgia
live;żyć
livelihood;źródło utrzymania
lively;żywy
liven up;ożywiać się
liver;wątroba
livestock;trzoda
livid;rozjuszony
living;żyjący
lizard;jaszczurka
llama;lama
LMT;czas lokalny
loaded;załadowany
loaf;bochenek
loan;pożyczać
loathe;nie cierpieć
loathing;wstręt
lobby;hall
lobe;płatek
lobster;homar
local;lokalny
locality;miejsce
locate;wynajdować
location;umiejscowienie
loch;jezioro
lock;zamykać na zamek
locker;schowek na bagaż
locket;medalion
locomotive;lokomotywa
locust;szarańcza
lodge;domek dozorcy
lodger;lokator
lodging;zakwaterowanie
loft;strych
lofty;wyniosły
loggerheads;kłócić się
logic;logika
logical;logiczny
logistics;logistyka
loins;lędźwie
loiter;marudzić
loll;rozwalać się
lollipop;lizak
lolly;lizak
London;Londyn
Londoner;Londyńczyk
lone;jedyny
lonely;samotny
loner;samotnik
lonesome;osamotniony
long.;długość
long-distance;długodystansowy
longevity;długowieczność
longitude;długość geograficzna
long-life;długotrwały
long-lived;długowieczny
long-playing;długogrający
long-range;dalekosiężny
long-sighted;dalekowzroczny
long-standing;długotrwały
long-term;długoterminowy
long-winded;rozwlekły
loo;ubikacja
lookout;czujka
loom;zarysowywać się
loony;szajbnięty
loop;pętla
loophole;luka
loose;luźny
loosen;rozluźniać się
loot;łupić
lop;odrąbywać
lopsided;koślawy
lord;lord
lore;folklor
lorry;ciężarówka
loser;przegrywający
loss;strata
lost;zgubiony
lotion;balsam
lottery;loteria
loud;głośny
loudspeaker;głośnik
Louisiana;Louisiana
lounge;hall
louse;wesz
lousy;wszawy
lout;chuligan
lovable;uroczy
loveless;bez miłości
lovely;cudowny
love-making;kochanie się
lover;kochanek
loving;kochający
low-cut;głęboko wycięty
lower;niższy
low-key;dyskretny
lowlands;niziny
lowly;niski
loyal;lojalny
loyalty;lojalność
lozenge;tabletka do ssania
LP;płyta długogrająca analogowa
LQ;wysoka jakość
LSD;LSD
LST;czas lokalny
Lt.;porucznik
Lt.-Col.;podpułkownik
ltd.;z o.o.
lubricate;smarować
lucid;przejrzysty
luck;szczęście
luckily;na szczęście
lucky;szczęśliwy
lucrative;lukratywny
ludicrous;groteskowy
lug;taskać
luggage;bagaż
lugubrious;pogrzebowy
lukewarm;letni
lull;przerwa
lullaby;kołysanka
lumber;drewno ścięte
luminous;luminescencyjny
lump;kawał
lumpy;wyboisty
lunacy;szaleństwo
lunar;księżycowy
lunatic;szaleniec
lunch;lekki obiad
luncheon;lunch
lung;płuco
lunge;szarpnąć się
lurch;zataczać się
lure;wabić
lurid;okropny
lurk;czaić się
luscious;smakowity
lush;bujny
lustful;pożądliwy
lustre;połysk
lusty;krzepki
lute;lutnia
luxuriant;wybujały
luxuriate;rozkoszować się
luxurious;luksusowy
luxury;luksus
LW;fale długie
lynch;linczować
lynx;ryś
lyre;lira
lyric;liryczny
lyrical;liryczny
lyrics;słowa pieśni
m.;męski
MA;magister nauk humanistycznych
mac;płaszcz przeciwdeszczowy
macabre;makabryczny
macaroni;makaron rurki
Macedonia;Macedonia
Macedonian;macedoński
machete;maczeta
machine;maszyna
machinery;urządzenia mechaniczne
macintosh;płaszcz przeciwdeszczowy
mackerel;makrela
mackintosh;płaszcz przeciwdeszczowy
mad;zwariowany
madden;rozwścieczać
made;zrobiony
made-to-measure;zrobiony na zamówienie
madly;szalenie
madman;szaleniec
madness;szaleństwo
Madrid;Madryt
magazine;magazyn
maggot;czerw
magic;magia
magical;czarodziejski
magician;iluzjonista
magistrate;sędzia pokoju
magnanimous;wielkoduszny
magnate;magnat
magnet;magnes
magnetic;magnetyczny
magnetism;magnetyzm
magnification;powiększenie
magnificent;wspaniały
magnify;powiększać
magnitude;wielkość
magpie;sroka
mahogany;mahoń
maid;pokojówka
maiden;panna
mail;poczta
mailbox;skrzynka pocztowa
mailman;listonosz
maim;okaleczać
Maine;Maine
mainframe;komputer główny duży
mainland;kontynent
mainly;głównie
mainspring;główna przyczyna sprężyna
mainstay;podstawa
mainstream;główny nurt
maintain;utrzymywać
maintenance;utrzymanie
maisonette;małe mieszkanie dwupoziomowe
maize;kukurydza
Maj.;major
majestic;majestatyczny
major;główny
majority;większość
make-believe;udawanie
maker;producent
makeshift;doraźny
make-up;makijaż
making;wytwarzanie
maladjusted;niedostosowany
malady;choroba
malaise;niepokój
malaria;malaria
Malay;malajski
Malaysia;Malezja
Malaysian;malezyjski
male;samiec
malevolent;nieżyczliwy
malfunction;źle funkcjonować
malice;złośliwość
malicious;złośliwy
malign;oczerniać
malignant;złośliwy
malinger;symulować chorobę
mall;centrum handlowe
mallet;młotek drewniany
malnutrition;niedożywienie
malpractice;zaniedbanie
malt;słód
maltreat;maltretować
mammal;ssak
mammoth;mamut
manage;zdołać
manageable;wykonalny
management;kierownictwo
manager;dyrektor
managerial;kierowniczy
managing;główny dyrektor
mandarin;mandarynka
mandate;poparcie
mandatory;nakazany prawem
mane;grzywa
manfully;namiętnie
mangle;szarpać
mango;mango
manhandle;poturbować
manhole;właz
manhood;męskość
man-hour;roboczogodzina
manhunt;pościg
mania;mania
maniac;maniak
manic;maniakalny
manicure;pielęgnować paznokcie
manifest;oczywisty
manifestation;przejaw
manifesto;manifest
manifold;różnoraki
manila;papier pakowy
manipulate;manipulować
manipulation;manipulacja
mankind;ludzkość
manly;męski
man-made;przekształcony przez człowieka
manner;sposób
mannerism;zmanierowanie
manoeuvre;manewr
manor;dwór obronny
manpower;siła robocza
mansion;rezydencja
manslaughter;zabójstwo
mantelpiece;półka nad kominkiem
mantle;płaszcz
manual;ręczny
manufacture;produkować
manufacturer;producent
manure;gnój
manuscript;rękopis
many;wiele
map;mapa
maple;klon
Mar.;marzec
mar;niszczyć
marathon;maraton
marauder;maruder
marauding;rabujący
marble;marmur
March;marzec
march;marsz
mare;kobyła
margarine;margaryna
margin;margines
marginal;marginesowy
marigold;nagietek
marijuana;marihuana
marina;przystań
marinate;marynować się
marine;morski
marital;małżeński
maritime;morski
marjoram;majeranek
mark;ślad
marked;wyraźny
marker;znak
market;targ
marketable;rynkowy
marketing;marketing
marksman;strzelec wyborowy
marmalade;marmolada z owoców cytrusowych
maroon;kasztanowy
marooned;odcięty od świata
Marq.;markiz
marquee;duży namiot
marquis;markiz
marriage;małżeństwo
married;żonaty
marrow;szpik
marry;pobierać się
marsh;bagno
marshal;zbierać razem
marshy;bagnisty
martial;wojskowy
martyr;męczennik
martyrdom;męczeństwo
marvel;zadziwiać się
marvellous;cudowny
Maryland;Maryland
marzipan;marcepan
masc.;męski
mascara;tusz do rzęs
mascot;maskotka
masculine;męski
mash;tłuc
mask;maska
masochism;masochizm
masochist;masochista
mason;kamieniarz
masonry;kamieniarstwo
masquerade;maskarada
Massachusetts;Massachusetts
massacre;masakra
massage;masować
massive;masywny
mass-produce;produkować na masową skalę
mast;maszt
master;pan
masterful;władczy
masterly;mistrzowski
mastermind;planować
masterpiece;arcydzieło
mastery;biegłość
masturbate;onanizować się
masturbation;masturbacja
Masuria;Mazury
Masurian;mazurski
mat;mata
match;mecz
matchbox;pudełko zapałek
matching;odpowiadający
matchless;niedościgniony
mate;kumpel
material;materiał
materialism;materializm
materialistic;materialistyczny
materialize;materializować się
maternal;matczyny
maternity;macierzyński
math;matma
mathematical;matematyczny
mathematician;matematyk
mathematics;matematyka
matinee;przedstawienie
mating;rozrodczy
matriculate;immatrykulować się
matriculation;immatrykulacja
matrimonial;matrymonialny
matrimony;małżeństwo
matrix;matryca
matron;siostra przełożona
matt;matowy
matted;zmierzwiony
matter;sprawa
matter-of-fact;rzeczowy
matting;mata
mattress;materac
mature;dojrzewać
maturity;dojrzałość
maudlin;sentymentalny
maul;szarpać
mausoleum;mauzoleum
mauve;fiołkowy
maverick;samotnik
max.;maksimum
maxi;maxi
maxim;maksyma
maximize;zwiększać maksymalnie
maximum;maksymalny
May;maj
may;móc
maybe;być może
mayonnaise;majonez
mayor;burmistrz
maze;labirynt
MC;piechota morska
MD;doktor medycyny
me;mnie
mead;miód pitny
meadow;łąka
meagre;skąpy
meal;posiłek
mealtime;pora posiłku
mean;znaczyć
meander;meandrować
meaning;znaczenie
meaningful;znaczący
meaningless;bezsensowny
means;sposób
meantime;tymczasem
meanwhile;tymczasem
measles;odra
measly;nędzny
measurable;dostrzegalny
measure;mierzyć
measured;odmierzony
measurement;wymiar
meat;mięso
mechanic;mechanik
mechanical;mechaniczny
mechanics;mechanika
mechanism;mechanizm
mechanize;mechanizować
medal;medal
medallion;medalion
medallist;medalista
meddle;mieszać się
media;środki masowego przekazu
mediaeval;średniowieczny
mediate;pośredniczyć
medical;lekarski
medication;lekarstwo
medicinal;leczniczy
medicine;medycyna
medieval;średniowieczny
mediocre;pośledni
meditate;rozmyślać
meditation;medytacja
Mediterranean;śródziemnomorski
medium;średni
meek;potulny
meet;spotykać się
meeting;spotkanie
megaphone;megafon
melancholy;melancholia
mellow;dojrzały
melodious;melodyjny
melodrama;melodramat
melodramatic;melodramatyczny
melody;melodia
melon;melon
melt;topnieć
member;przedstawiciel
membership;członkostwo
membrane;błona śluzowa
memento;pamiątka
memo;memorandum
memoirs;memuary
memorable;pamiętny
memorandum;memorandum
memorial;pomnik
memorize;zapamiętywać
memory;pamięć
menace;zagrożenie
menacing;groźny
mend;naprawiać się
menial;podrzędny
meningitis;zapalenie opon mózgowych
menopause;menopauza
menstrual;menstruacyjny
menstruate;miesiączkować
menstruation;menstruacja
mental;umysłowy
mentality;umysłowość
mention;wspominać
mentor;mentor
menu;menu
mercenary;najemnik
merchandise;towary
merchant;kupiec
merciful;litościwy
merciless;bezlitosny
mercury;rtęć
mercy;litość
mere;tylko
merely;tylko
merest;najmniejszy
merge;scalać się
merger;fuzja
meridian;południk
meringue;beza
merit;wartość
mermaid;syrena
merriment;wesołość
merry;radosny
merry-go-round;karuzela
mesh;siatka
mesmerize;hipnotyzować
message;wiadomość
messenger;posłaniec
messy;brudny
metabolism;metabolizm
metal;metal
metallic;metaliczny
metamorphosis;metamorfoza
metaphor;metafora
metaphysics;metafizyka
meteor;meteor
meteoric;błyskawiczny
meteorite;meteoryt
meteorological;meteorologiczny
meteorology;meteorologia
meter;licznik
method;metoda
methodical;metodyczny
Methodist;metodysta
methodology;metodyka
meticulous;drobiazgowy
metre;metr
metric;metryczny
metro;metro
metropolis;metropolia
metropolitan;wielkomiejski
mettle;bujny temperament
mew;miauczeć
Mexican;meksykański
Mexico;Meksyk
Mgr.;Monsignore
MI;wywiad wojskowy
miaow;miauk
Michigan;Michigan
mickey;nabierać kogoś
microbe;mikrob
microchip;płytka półprzewodnika
microphone;mikrofon
microprocessor;mikroprocesor
microscope;mikroskop
microscopic;mikroskopowy
microwave;kuchenka mikrofalowa
mid;środkowy
midday;południe
middle;środek
middle-aged;w średnim wieku
middleman;pośrednik
middle-of-the road;umiarkowany
middling;średni
midge;komar
midget;karzeł
midi;midi
midnight;północ
midriff;talia
midst;w środku
midsummer;środek lata
midway;pomiędzy
midweek;środek tygodnia
midwife;położna
mighty;potężny
migraine;migrena
migrant;przybysz
migrate;wędrować
migration;migracja
mike;mikrofon
mild;łagodny
mildew;pleśń
mile;mila
mileage;dystans
mileometer;licznik mil
milestone;kamień milowy
milieu;otoczenie
militant;wojowniczy
military;wojskowy
militate;zapobiegać
militia;milicja
milk;mleko
milkman;mleczarz
milk-shake;koktail mleczny
milky;mleczny
mill;młyn
millennium;millennium
miller;młynarz
millet;proso
milligram;miligram
millilitre;mililitr
millimetre;milimetr
milliner;modysta
millinery;modniarstwo
million;milion
millionaire;milioner
millionth;milionowy
millstone;kamień młyński
milometer;licznik mil
mime;pantomima
mimeograph;powielacz
mimic;naśladować
mimicry;naśladownictwo
min.;minimum
minaret;minaret
mince;mięso siekane
mincemeat;
minder;opiekun
mindful;zważać
mindless;bezsensowny
mine;mój
minefield;pole minowe
miner;górnik
mineral;minerał
mingle;mieszać się
mini;mini
miniature;miniaturowy
minibus;mikrobus
minimal;minimalny
minimize;minimalizować
minimum;minimalny
mining;górnictwo
miniskirt;minispódniczka
minister;minister
ministerial;ministerialny
ministry;ministerstwo
mink;norka
Minnesota;Minnesota
minor;pomniejszy
minority;mniejszość
minster;katedra
minstrel;bard
mint;mięta
minuet;menuet
minus;minus
minute;minuta
minutely;drobiazgowo
miracle;cud
miraculous;cudowny
mirage;fata morgana
mirror;lustro
mirth;radość
misadventure;nieszczęśliwy wypadek
misapprehension;błędne mniemanie
misappropriate;przywłaszczać
misbehave;źle zachowywać się
misbehaviour;złe zachowanie się
misc.;różne
miscalculate;przeliczyć się
miscarriage;poronienie
miscarry;poronić
miscellaneous;różnorodny
mischief;figlarność
mischievous;psotliwy
misconceived;źle pomyślany
misconception;nieporozumienie
misconduct;wykroczenie
misconstruction;nieporozumienie
misconstrue;źle zrozumieć
misdemeanour;wykroczenie
misdirect;źle kierować
miser;skąpiec
miserable;nieszczęśliwy
miserly;skąpy
misery;nieszczęście
misfire;nie wypalać
misfit;osoba nie na miejscu
misfortune;nieszczęście
misgiving;złe przeczucie
misguided;błędny
mishandle;zaniedbywać
mishap;zły przypadek
misinform;błędnie poinformować
misinformation;błędna informacja
misinterpret;opacznie rozumieć
misjudge;mylnie osądzać
mislay;zapodziewać
mislead;mylić
mismanage;niewłaściwie prowadzić
misnomer;niewłaściwy termin
misplaced;niewłaściwy
misprint;omyłka druku
misread;niewłaściwie odczytywać
misrepresent;fałszywie przedstawiać
Miss;panna
miss;nietrafienie
misshapen;zniekształcony
missile;rakieta
missing;zaginiony
mission;misja
missionary;misjonarz
Mississippi;Mississippi
Missouri;Missouri
misspell;zrobić błąd ortograficzny
misspend;marnować
mist;mgła
mistake;pomyłka
mistaken;mylny
mistletoe;jemioła
mistress;pani
mistrust;niewiara
misty;zamglony
misunderstand;mylnie rozumieć
misunderstanding;nieporozumienie
misuse;nadużywać
mite;kruszyna
mitigate;łagodzić
mitre;mitra
mitten;rękawica z jednym palcem
mix;zmieszać
mixed;mieszany
mixer;mikser
mixture;mieszanka
ml.;mililitr
Mme;pani
MO;lekarz rejonowy
Mo.;poniedziałek
m.o.;przekaz pocztowy
moan;jęczeć
moat;fosa
mob;tłum
mobile;mobilny
mobility;mobilność
mobilize;mobilizować
moccasin;mokasyn
mock;drwić
mockery;drwina
mod.;umiarkowany
mod cons;ze wszystkimi wygodami
mode;rodzaj
model;model
modem;modem
moderate;umiarkowany
moderation;umiar
modern;współczesny
modernize;modernizować
modest;skromny
modesty;skromność
modicum;minimum
modification;modyfikacja
modifier;określenie
modify;modyfikować
modulate;modulować
module;moduł
mohair;moher
moist;wilgotny
moisten;zwilżać
moisture;wilgoć
molar;ząb trzonowy
mole;pieprzyk
molecule;cząsteczka
molehill;kretowisko
molest;napastować
mollify;udobruchiwać
mollusc;mięczak
molten;stopiony
mom;mamuśka
moment;chwila
momentary;chwilowy
momentous;doniosły
momentum;rozpęd
Mon.;poniedziałek
monarch;monarcha
monarchist;monarchista
monarchy;monarchia
monastery;klasztor
monastic;klasztorny
Monday;poniedziałek
monetary;monetarny
money;pieniądze
Mongol;Mongoł
mongol;mongoloid
Mongolia;Mongolia
Mongolian;mongolski
mongrel;kundel
monitor;obserwować
monk;zakonnik
monkey;małpa
mono;monofoniczny
monogamy;monogamia
monolithic;monolityczny
monologue;monolog
monopolistic;monopolistyczny
monopoly;monopol
monotone;monotonnie
monotonous;monotonny
monsoon;monsun
monster;monstrum
monstrosity;monstrualność
monstrous;monstrualny
Montana;Montana
month;miesiąc
monthly;comiesięczny
monument;pomnik
monumental;monumentalny
moo;ryczeć
mood;nastrój
moody;kapryśny
moon;księżyc
moonless;bezksiężycowy
moonlight;światło księżyca
moonlit;księżycowy
moor;wrzosowisko
mooring;stanowisko cumowania
moorland;region wrzosowisk
moose;łoś
mop;zmywak do podłogi
mope;upadać na duchu
moped;motorower
moral;morał
morale;morale
moralist;moralista
moralistic;moralistyczny
morality;moralność
moralize;moralizować
morally;moralnie
morass;bagno
moratorium;moratorium
Moravia;Morawy
morbid;chorobliwy
moreover;co więcej
morgue;kostnica
Mormon;mormon
morning;rano
Moroccan;marokański
Morocco;Maroko
moron;kretyn
moronic;kretyński
morose;ponury
morphine;morfina
morsel;kąsek
mortal;śmiertelny
mortality;śmiertelność
mortar;moździerz
mortgage;pożyczka
mortify;upokarzać
mortuary;kostnica
mosaic;mozaika
Moscow;Moskwa
mosque;meczet
mosquito;moskit
moss;mech
mossy;omszały
mostly;w większości
motel;motel
moth;ćma
mothball;kulka naftaliny
moth-eaten;zżarty przez mole
mother;matka
motherhood;macierzyństwo
mother-in-law;teściowa
motherless;pozbawiony matki
motherly;matczyny
mother-of-pearl;macica perłowa
mother-to-be;przyszła matka
motif;motyw
motion;ruch
motionless;nieruchomy
motivate;spowodować
motivation;motywacja
motive;motyw
motley;różnorodny
motor;silnik
motorbike;motor
motorcar;samochód
motorcycle;motocykl
motoring;drogowy
motorist;samochodziarz
motorway;autostrada
mottled;plamisty
motto;motto
mould;ukształtowywać
mouldy;spleśniały
moult;linieć
mound;kopiec
mount;przeprowadzać
mountain;góra
mountaineer;alpinista
mountaineering;alpinistyka
mountainous;górzysty
mountainside;zbocze
mourn;boleć po stracie
mourner;żałobnik
mournful;żałobny
mourning;żałoba
mouse;mysz
mousse;mus
moustache;wąsy
mousy;mysi
mouth;usta
mouthful;kęs
mouth-organ;organki
mouthpiece;mikrofon
mouthwash;płyn do ust
mouth-watering;apetyczny
movable;ruchomy
move;poruszać
moveable;ruchomy
movement;ruch
movie;film
moving;poruszający
mow;strzyc
mower;kosiarka do trawy
Mozambican;mozambikański
Mozambique;Mozambik
MP;członek Parlamentu
mph;mil/godz.
Mr.;Pan
Mrs;Pani
Ms;Pani
M.Sc.;magister nauk przyrodniczych
mt.;góra
mth.;miesiąc
much;dużo
mucky;ubabrany
mucus;śluz
mud;błoto
muddle;zamieszanie
muddy;zabłocony
mudguard;błotnik
muesli;muzli
muffin;bułka
muffle;zagłuszać
mug;kubek
mugger;chuligan
muggy;duszny
mule;muł
mull over;przemyśliwać
multiaccess;wielodostępność
multifarious;różnorodny
multilateral;wielostronny
multinational;wielonarodowy
multiple;wielokrotny
multiplication;mnożenie
multiplicity;wielość
multiply;rozmnażać się
multitasking;wielozadaniowość
multitude;wielość
mum;mamusia
mumble;mamrotać
mummify;mumifikować
mummy;mamusia
mumps;świnka
munch;przeżuwać
mundane;przyziemny
Munich;Monachium
municipal;miejski
municipality;samorząd miejski
munificence;szczodrość
munitions;amunicja
mural;malowidło ścienne
murder;morderstwo
murderer;morderca
murderous;morderczy
murky;mroczny
murmur;mruczeć
muscle;mięsień
muscular;mięśniowy
muse;dumać
museum;muzeum
mush;papka
mushroom;grzyb
mushy;rozgnieciony
music;muzyka
musical;muzyczny
musician;muzyk
musk;piżmo
Muslim;muzułmanin
muslin;muślin
mussel;małż
must;musieć
mustache;wąsy
mustard;musztarda
muster;zbierać
musty;stęchły
mutate;mutować
mute;niemy
muted;przytłumiony
mutilate;okaleczać
mutilated;zniekształcony
mutinous;buntowniczy
mutiny;bunt
mutter;mamrotać
mutton;baranina
mutual;wzajemny
mutually;wzajemnie
muzzle;pysk
MW;fale średnie
my;mój
myopic;krótkowzroczny
myriad;mnóstwo
myself;się
mysterious;tajemniczy
mystery;tajemnica
mystic;mistyk
mysticism;mistycyzm
mystify;wprowadzać w błąd
mystique;mistyka
myth;mit
mythic;mityczny
mythology;mitologia
N;północ
nab;przyłapywać
nadir;zenit
nag;nudzić
nail;gwóźdź
naive;naiwny
naked;nagi
name-dropping;przerzucanie się nazwiskami sławnych ludzi
nameless;bezimienny
namely;mianowicie
namesake;imiennik
nanny;niania
nap;drzemka
nape;kark
napkin;serwetka
Naples;Neapol
napoleon;napoleonka
nappy;pieluszka
narcissus;narcyz
narcotic;narkotyk
narrate;przedstawiać
narration;narracja
narrative;narracja
narrow;wąski
narrow-minded;ograniczony
nasal;nosowy
nasty;paskudny
nat.;narodowy
nation;naród
national;narodowy
nationalise;nacjonalizować
nationalism;nacjonalizm
nationalist;nacjonalistyczny
nationalistic;nacjonalistyczny
nationality;narodowość
nationalize;nacjonalizować
nationwide;ogólnokrajowy
native;rodzinny
NATO;Pakt Północnoatlantycki
natter;pogadać
natural;naturalny
naturalist;przyrodnik
naturalized;naturalizowany
naturally;naturalnie
nature;natura
naught;zero
naughty;niegrzeczny
nausea;nudności
nauseate;przyprawiać o nudności
nautical;żeglarski
naval;morski
nave;nawa
navel;pępek
navigable;żeglowny
navigate;żeglować
navigation;żegluga
navigator;nawigator
navy;marynarka wojenna
nay;a nie
n.b.;notabene
NCO;podoficer
NE;płn.-wsch.
near;bliski
nearby;pobliski
nearly;prawie
neat;elegancki
Nebraska;Nebraska
nebulous;mglisty
necessarily;nieod
necessary;potrzebny
necessitate;czynić koniecznym
necessity;konieczność
necklace;kolia
neckline;wycięcie
